,,,0,0,1,1,2,2,3,3,4,4,5,5,6,6,7,7
1,0,2,1.0,alpha,0.0,beta,0.0,beta,0.0,alpha,0.0,alpha,0.0,delta,0.0,beta,0.0,alpha
1,0,3,1.0,alpha,0.0,delta,0.0,alpha,0.0,alpha,0.0,delta,0.0,beta,0.0,alpha,0.0,beta
1,0,4,1.0,alpha,0.0,delta,0.0,alpha,0.0,beta,0.0,alpha,0.0,alpha,0.0,alpha,0.0,alpha
1,0,5,1.0,alpha,0.0,alpha,0.0,beta,0.0,alpha,0.0,delta,0.0,alpha,0.0,alpha,0.0,delta
1,0,6,1.0,delta,0.0,beta,0.0,beta,0.0,delta,0.0,alpha,0.0,beta,0.0,beta,0.0,alpha
1,0,7,1.0,delta,0.0,alpha,0.0,alpha,0.0,alpha,0.0,alpha,0.0,delta,0.0,beta,0.0,beta
1,0,8,1.0,alpha,0.0,alpha,0.0,alpha,0.0,alpha,0.0,alpha,0.0,alpha,0.0,alpha,0.0,alpha
1,0,9,1.0,alpha,0.0,alpha,0.0,alpha,0.0,alpha,0.0,alpha,0.0,alpha,0.0,alpha,0.0,alpha
1,0,10,1.0,alpha,0.0,alpha,0.0,alpha,0.0,alpha,0.0,alpha,0.0,alpha,0.0,alpha,0.0,alpha
1,0,11,1.0,alpha,0.0,alpha,0.0,alpha,0.0,alpha,0.0,alpha,0.0,alpha,0.0,alpha,0.0,alpha
1,0,12,1.0,alpha,0.0,alpha,0.0,alpha,0.0,alpha,0.0,alpha,0.0,alpha,0.0,alpha,0.0,alpha
1,0,13,1.0,alpha,0.0,alpha,0.0,alpha,0.0,alpha,0.0,alpha,0.0,alpha,0.0,alpha,0.0,alpha
1,0,14,1.0,alpha,0.0,alpha,0.0,alpha,0.0,alpha,0.0,alpha,0.0,alpha,0.0,alpha,0.0,alpha
1,1,0,0.0,alpha,0.0,gamma,0.0,delta,0.0,alpha,0.0,alpha,0.0,alpha,0.0,delta,0.0,delta
2,0,0,1.0,delta,0.0,gamma,0.0,delta,0.0,gamma,0.0,beta,0.0,gamma,0.0,beta,0.0,beta
2,0,1,1.0,delta,0.0,beta,0.0,beta,0.0,gamma,0.0,beta,0.0,delta,0.0,gamma,0.0,delta
2,0,2,1.0,delta,0.0,beta,0.0,beta,0.0,delta,0.0,beta,0.0,beta,0.0,delta,0.0,beta
2,0,3,1.0,delta,0.0,delta,0.0,beta,0.0,delta,0.0,beta,0.0,beta,0.0,beta,0.0,delta
2,0,4,1.0,delta,0.0,beta,0.0,delta,0.0,delta,0.0,beta,0.0,delta,0.0,delta,0.0,beta
2,0,5,1.0,delta,0.0,beta,0.0,beta,0.0,delta,0.0,delta,0.0,delta,0.0,beta,0.0,beta
2,0,6,1.0,delta,0.0,beta,0.0,delta,0.0,beta,0.0,delta,0.0,delta,0.0,delta,0.0,delta
2,0,7,1.0,delta,0.0,beta,0.0,beta,0.0,beta,0.0,delta,0.0,beta,0.0,beta,0.0,delta
2,0,8,1.0,delta,0.0,delta,0.0,delta,0.0,beta,0.0,delta,0.0,beta,0.0,beta,0.0,delta
2,0,9,1.0,delta,0.0,delta,0.0,delta,0.0,delta,0.0,delta,0.0,delta,0.0,delta,0.0,delta
2,0,10,1.0,delta,0.0,delta,0.0,delta,0.0,delta,0.0,delta,0.0,delta,0.0,delta,0.0,delta
2,0,11,1.0,delta,0.0,delta,0.0,delta,0.0,delta,0.0,delta,0.0,delta,0.0,delta,0.0,delta
2,0,12,1.0,delta,0.0,delta,0.0,delta,0.0,delta,0.0,delta,0.0,delta,0.0,delta,0.0,delta
2,0,13,1.0,delta,0.0,delta,0.0,delta,0.0,delta,0.0,delta,0.0,delta,0.0,delta,0.0,delta
2,0,14,1.0,delta,0.0,delta,0.0,delta,0.0,delta,0.0,delta,0.0,delta,0.0,delta,0.0,delta
2,1,0,0.0,beta,0.0,alpha,0.0,beta,0.0,beta,0.0,gamma,0.0,gamma,0.0,gamma,0.0,alpha
3,0,0,1.0,alpha,0.0,alpha,0.0,gamma,0.0,gamma,0.0,delta,0.0,beta,0.0,beta,0.0,alpha
3,0,1,1.0,delta,0.0,beta,0.0,gamma,0.0,alpha,0.0,delta,0.0,alpha,0.0,gamma,0.0,beta
3,0,2,1.0,delta,0.0,alpha,0.0,delta,0.0,beta,0.0,alpha,0.0,delta,0.0,alpha,0.0,delta
3,0,3,1.0,alpha,0.0,alpha,0.0,delta,0.0,delta,0.0,beta,0.0,delta,0.0,delta,0.0,alpha
3,0,4,1.0,alpha,0.0,delta,0.0,delta,0.0,delta,0.0,delta,0.0,alpha,0.0,delta,0.0,delta
3,0,5,1.0,alpha,0.0,alpha,0.0,alpha,0.0,alpha,0.0,delta,0.0,alpha,0.0,delta,0.0,delta
3,0,6,1.0,alpha,0.0,alpha,0.0,alpha,0.0,alpha,0.0,delta,0.0,alpha,0.0,alpha,0.0,alpha
3,0,7,1.0,alpha,0.0,alpha,0.0,alpha,0.0,alpha,0.0,alpha,0.0,alpha,0.0,alpha,0.0,alpha
3,0,8,1.0,alpha,0.0,alpha,0.0,alpha,0.0,alpha,0.0,alpha,0.0,alpha,0.0,alpha,0.0,alpha
3,0,9,1.0,alpha,0.0,alpha,0.0,alpha,0.0,alpha,0.0,alpha,0.0,alpha,0.0,alpha,0.0,alpha
3,0,10,1.0,alpha,0.0,alpha,0.0,alpha,0.0,alpha,0.0,alpha,0.0,alpha,0.0,alpha,0.0,alpha
3,0,11,1.0,alpha,0.0,alpha,0.0,alpha,0.0,alpha,0.0,alpha,0.0,alpha,0.0,alpha,0.0,alpha
3,0,12,1.0,alpha,0.0,alpha,0.0,alpha,0.0,alpha,0.0,alpha,0.0,alpha,0.0,alpha,0.0,alpha
3,0,13,1.0,alpha,0.0,alpha,0.0,alpha,0.0,alpha,0.0,alpha,0.0,alpha,0.0,alpha,0.0,alpha
3,0,14,1.0,alpha,0.0,alpha,0.0,alpha,0.0,alpha,0.0,alpha,0.0,alpha,0.0,alpha,0.0,alpha
3,1,0,1.0,delta,1.0,alpha,0.0,alpha,0.0,beta,0.0,alpha,0.0,gamma,0.0,gamma,0.0,beta
3,2,0,1.0,alpha,1.0,delta,1.0,alpha,1.0,delta,0.0,alpha,0.0,alpha,0.0,gamma,0.0,gamma
3,3,0,1.0,delta,1.0,alpha,1.0,alpha,1.0,alpha,0.0,alpha,0.0,delta,0.0,alpha,0.0,gamma
3,4,0,1.0,delta,1.0,alpha,0.0,delta,0.0,beta,0.0,alpha,0.0,beta,0.0,alpha,0.0,alpha
3,5,0,1.0,alpha,1.0,alpha,1.0,alpha,1.0,delta,0.0,delta,0.0,beta,0.0,gamma,0.0,beta
3,6,0,1.0,alpha,1.0,delta,1.0,delta,1.0,delta,0.0,gamma,0.0,alpha,0.0,beta,0.0,delta
3,7,0,1.0,alpha,1.0,delta,0.0,delta,0.0,beta,0.0,alpha,0.0,gamma,0.0,alpha,0.0,delta
3,8,0,0.0,delta,0.0,alpha,0.0,delta,0.0,delta,0.0,alpha,0.0,delta,0.0,beta,0.0,delta
4,0,0,1.0,delta,0.0,alpha,0.0,delta,0.0,gamma,0.0,beta,0.0,alpha,0.0,alpha,0.0,beta
4,0,1,1.0,alpha,0.0,alpha,0.0,alpha,0.0,alpha,0.0,beta,0.0,delta,0.0,beta,0.0,beta
4,0,2,1.0,alpha,0.0,alpha,0.0,alpha,0.0,alpha,0.0,alpha,0.0,alpha,0.0,alpha,0.0,beta
4,0,3,1.0,alpha,0.0,alpha,0.0,alpha,0.0,alpha,0.0,alpha,0.0,alpha,0.0,alpha,0.0,alpha
4,0,4,1.0,alpha,0.0,alpha,0.0,alpha,0.0,alpha,0.0,alpha,0.0,alpha,0.0,alpha,0.0,alpha
4,0,5,1.0,alpha,0.0,alpha,0.0,alpha,0.0,alpha,0.0,alpha,0.0,alpha,0.0,alpha,0.0,alpha
4,0,6,1.0,alpha,0.0,alpha,0.0,alpha,0.0,alpha,0.0,alpha,0.0,alpha,0.0,alpha,0.0,alpha
4,0,7,1.0,alpha,0.0,alpha,0.0,alpha,0.0,alpha,0.0,alpha,0.0,alpha,0.0,alpha,0.0,alpha
4,0,8,1.0,alpha,0.0,alpha,0.0,alpha,0.0,alpha,0.0,alpha,0.0,alpha,0.0,alpha,0.0,alpha
4,0,9,1.0,alpha,0.0,alpha,0.0,alpha,0.0,alpha,0.0,alpha,0.0,alpha,0.0,alpha,0.0,alpha
4,0,10,1.0,alpha,0.0,alpha,0.0,alpha,0.0,alpha,0.0,alpha,0.0,alpha,0.0,alpha,0.0,alpha
4,0,11,1.0,alpha,0.0,alpha,0.0,alpha,0.0,alpha,0.0,alpha,0.0,alpha,0.0,alpha,0.0,alpha
4,0,12,1.0,alpha,0.0,alpha,0.0,alpha,0.0,alpha,0.0,alpha,0.0,alpha,0.0,alpha,0.0,alpha
4,0,13,1.0,alpha,0.0,alpha,0.0,alpha,0.0,alpha,0.0,alpha,0.0,alpha,0.0,alpha,0.0,alpha
4,0,14,1.0,alpha,0.0,alpha,0.0,alpha,0.0,alpha,0.0,alpha,0.0,alpha,0.0,alpha,0.0,alpha
4,1,0,0.0,alpha,0.0,beta,0.0,alpha,0.0,beta,0.0,delta,0.0,beta,0.0,alpha,0.0,delta
5,0,0,1.0,delta,0.0,alpha,0.0,alpha,0.0,beta,0.0,delta,0.0,beta,0.0,beta,0.0,gamma
5,0,1,1.0,alpha,0.0,delta,0.0,beta,0.0,beta,0.0,delta,0.0,alpha,0.0,alpha,0.0,alpha
5,0,2,1.0,alpha,0.0,delta,0.0,alpha,0.0,beta,0.0,delta,0.0,delta,0.0,alpha,0.0,alpha
5,0,3,1.0,alpha,0.0,alpha,0.0,beta,0.0,beta,0.0,alpha,0.0,alpha,0.0,delta,0.0,alpha
5,0,4,1.0,alpha,0.0,alpha,0.0,delta,0.0,alpha,0.0,alpha,0.0,alpha,0.0,delta,0.0,alpha
5,0,5,1.0,alpha,0.0,alpha,0.0,alpha,0.0,alpha,0.0,alpha,0.0,alpha,0.0,alpha,0.0,alpha
5,0,6,1.0,alpha,0.0,alpha,0.0,alpha,0.0,alpha,0.0,alpha,0.0,alpha,0.0,alpha,0.0,alpha
5,0,7,1.0,alpha,0.0,alpha,0.0,alpha,0.0,alpha,0.0,alpha,0.0,alpha,0.0,alpha,0.0,alpha
5,0,8,1.0,alpha,0.0,alpha,0.0,alpha,0.0,alpha,0.0,alpha,0.0,alpha,0.0,alpha,0.0,alpha
5,0,9,1.0,alpha,0.0,alpha,0.0,alpha,0.0,alpha,0.0,alpha,0.0,alpha,0.0,alpha,0.0,alpha
5,0,10,1.0,alpha,0.0,alpha,0.0,alpha,0.0,alpha,0.0,alpha,0.0,alpha,0.0,alpha,0.0,alpha
5,0,11,1.0,alpha,0.0,alpha,0.0,alpha,0.0,alpha,0.0,alpha,0.0,alpha,0.0,alpha,0.0,alpha
5,0,12,1.0,alpha,0.0,alpha,0.0,alpha,0.0,alpha,0.0,alpha,0.0,alpha,0.0,alpha,0.0,alpha
5,0,13,1.0,alpha,0.0,alpha,0.0,alpha,0.0,alpha,0.0,alpha,0.0,alpha,0.0,alpha,0.0,alpha
5,0,14,1.0,alpha,0.0,alpha,0.0,alpha,0.0,alpha,0.0,alpha,0.0,alpha,0.0,alpha,0.0,alpha
5,1,0,1.0,alpha,1.0,delta,0.0,gamma,0.0,gamma,0.0,alpha,0.0,delta,0.0,alpha,0.0,beta
5,2,0,1.0,delta,1.0,alpha,1.0,delta,1.0,alpha,0.0,gamma,0.0,beta,0.0,delta,0.0,delta
5,3,0,1.0,delta,1.0,delta,1.0,alpha,1.0,alpha,1.0,alpha,1.0,delta,0.0,gamma,0.0,delta
5,4,0,1.0,delta,1.0,delta,1.0,delta,1.0,alpha,1.0,delta,1.0,delta,1.0,delta,1.0,alpha
6,0,0,1.0,alpha,0.0,delta,0.0,alpha,0.0,alpha,0.0,alpha,0.0,delta,0.0,beta,0.0,delta
6,0,1,1.0,delta,0.0,alpha,0.0,alpha,0.0,alpha,0.0,alpha,0.0,delta,0.0,alpha,0.0,alpha
6,0,2,1.0,alpha,0.0,alpha,0.0,alpha,0.0,alpha,0.0,alpha,0.0,alpha,0.0,alpha,0.0,alpha
6,0,3,1.0,alpha,0.0,alpha,0.0,alpha,0.0,alpha,0.0,alpha,0.0,alpha,0.0,alpha,0.0,alpha
6,0,4,1.0,alpha,0.0,alpha,0.0,alpha,0.0,alpha,0.0,alpha,0.0,alpha,0.0,alpha,0.0,alpha
6,0,5,1.0,alpha,0.0,alpha,0.0,alpha,0.0,alpha,0.0,alpha,0.0,alpha,0.0,alpha,0.0,alpha
6,0,6,1.0,alpha,0.0,alpha,0.0,alpha,0.0,alpha,0.0,alpha,0.0,alpha,0.0,alpha,0.0,alpha
6,0,7,1.0,alpha,0.0,alpha,0.0,alpha,0.0,alpha,0.0,alpha,0.0,alpha,0.0,alpha,0.0,alpha
6,0,8,1.0,alpha,0.0,alpha,0.0,alpha,0.0,alpha,0.0,alpha,0.0,alpha,0.0,alpha,0.0,alpha
6,0,9,1.0,alpha,0.0,alpha,0.0,alpha,0.0,alpha,0.0,alpha,0.0,alpha,0.0,alpha,0.0,alpha
6,0,10,1.0,alpha,0.0,alpha,0.0,alpha,0.0,alpha,0.0,alpha,0.0,alpha,0.0,alpha,0.0,alpha
6,0,11,1.0,alpha,0.0,alpha,0.0,alpha,0.0,alpha,0.0,alpha,0.0,alpha,0.0,alpha,0.0,alpha
6,0,12,1.0,alpha,0.0,alpha,0.0,alpha,0.0,alpha,0.0,alpha,0.0,alpha,0.0,alpha,0.0,alpha
6,0,13,1.0,alpha,0.0,alpha,0.0,alpha,0.0,alpha,0.0,alpha,0.0,alpha,0.0,alpha,0.0,alpha
6,0,14,1.0,alpha,0.0,alpha,0.0,alpha,0.0,alpha,0.0,alpha,0.0,alpha,0.0,alpha,0.0,alpha
6,1,0,1.0,delta,1.0,delta,0.0,alpha,0.0,delta,0.0,alpha,0.0,alpha,0.0,beta,0.0,beta
6,2,0,0.0,alpha,0.0,alpha,0.0,beta,0.0,alpha,0.0,delta,0.0,delta,0.0,alpha,0.0,gamma
7,0,0,1.0,delta,0.0,delta,0.0,alpha,0.0,delta,0.0,delta,0.0,gamma,0.0,gamma,0.0,gamma
7,0,1,1.0,delta,0.0,delta,0.0,delta,0.0,delta,0.0,alpha,0.0,gamma,0.0,gamma,0.0,gamma
7,0,2,1.0,delta,0.0,delta,0.0,delta,0.0,alpha,0.0,gamma,0.0,delta,0.0,delta,0.0,delta
7,0,3,1.0,delta,0.0,delta,0.0,gamma,0.0,alpha,0.0,delta,0.0,delta,0.0,gamma,0.0,delta
7,0,4,1.0,delta,0.0,gamma,0.0,alpha,0.0,delta,0.0,gamma,0.0,delta,0.0,delta,0.0,delta
7,0,5,1.0,delta,0.0,delta,0.0,delta,0.0,delta,0.0,gamma,0.0,delta,0.0,alpha,0.0,delta
7,0,6,1.0,delta,0.0,delta,0.0,delta,0.0,alpha,0.0,alpha,0.0,delta,0.0,delta,0.0,delta
7,0,7,1.0,alpha,0.0,alpha,0.0,delta,0.0,delta,0.0,alpha,0.0,delta,0.0,alpha,0.0,delta
7,0,8,1.0,alpha,0.0,alpha,0.0,alpha,0.0,delta,0.0,alpha,0.0,alpha,0.0,alpha,0.0,alpha
7,0,9,1.0,alpha,0.0,alpha,0.0,alpha,0.0,alpha,0.0,alpha,0.0,delta,0.0,alpha,0.0,alpha
7,0,10,1.0,delta,0.0,alpha,0.0,alpha,0.0,alpha,0.0,alpha,0.0,delta,0.0,delta,0.0,alpha
7,0,11,1.0,alpha,0.0,delta,0.0,delta,0.0,delta,0.0,alpha,0.0,delta,0.0,delta,0.0,alpha
7,0,12,1.0,delta,0.0,delta,0.0,alpha,0.0,delta,0.0,delta,0.0,delta,0.0,delta,0.0,delta
7,0,13,1.0,delta,0.0,delta,0.0,delta,0.0,delta,0.0,alpha,0.0,delta,0.0,delta,0.0,delta
7,0,14,1.0,delta,0.0,delta,0.0,delta,0.0,delta,0.0,delta,0.0,delta,0.0,delta,0.0,delta
7,1,0,0.0,alpha,0.0,delta,0.0,alpha,0.0,gamma,0.0,delta,0.0,alpha,0.0,alpha,0.0,beta
8,0,0,1.0,delta,0.0,gamma,0.0,delta,0.0,delta,0.0,delta,0.0,gamma,0.0,gamma,0.0,beta
8,0,1,1.0,delta,0.0,delta,0.0,beta,0.0,delta,0.0,gamma,0.0,beta,0.0,beta,0.0,gamma
8,0,2,1.0,delta,0.0,beta,0.0,delta,0.0,gamma,0.0,beta,0.0,delta,0.0,delta,0.0,beta
8,0,3,1.0,delta,0.0,beta,0.0,delta,0.0,beta,0.0,beta,0.0,beta,0.0,beta,0.0,delta
8,0,4,1.0,delta,0.0,delta,0.0,beta,0.0,delta,0.0,beta,0.0,delta,0.0,delta,0.0,beta
8,0,5,1.0,delta,0.0,delta,0.0,delta,0.0,delta,0.0,beta,0.0,delta,0.0,delta,0.0,delta
8,0,6,1.0,delta,0.0,delta,0.0,delta,0.0,beta,0.0,delta,0.0,delta,0.0,beta,0.0,delta
8,0,7,1.0,delta,0.0,delta,0.0,delta,0.0,delta,0.0,delta,0.0,beta,0.0,delta,0.0,delta
8,0,8,1.0,delta,0.0,delta,0.0,delta,0.0,delta,0.0,delta,0.0,delta,0.0,delta,0.0,delta
8,0,9,1.0,delta,0.0,delta,0.0,delta,0.0,delta,0.0,delta,0.0,delta,0.0,delta,0.0,delta
8,0,10,1.0,delta,0.0,delta,0.0,delta,0.0,delta,0.0,delta,0.0,delta,0.0,delta,0.0,delta
8,0,11,1.0,delta,0.0,delta,0.0,delta,0.0,delta,0.0,delta,0.0,delta,0.0,delta,0.0,delta
8,0,12,1.0,delta,0.0,delta,0.0,delta,0.0,delta,0.0,delta,0.0,delta,0.0,delta,0.0,delta
8,0,13,1.0,delta,0.0,delta,0.0,delta,0.0,delta,0.0,delta,0.0,delta,0.0,delta,0.0,delta
8,0,14,1.0,delta,0.0,delta,0.0,delta,0.0,delta,0.0,delta,0.0,delta,0.0,delta,0.0,delta
8,1,0,1.0,delta,1.0,delta,0.0,gamma,0.0,delta,0.0,beta,0.0,alpha,0.0,gamma,0.0,delta
8,2,0,1.0,alpha,1.0,alpha,0.0,delta,0.0,alpha,0.0,alpha,0.0,gamma,0.0,delta,0.0,gamma
8,3,0,1.0,alpha,1.0,alpha,1.0,alpha,1.0,alpha,0.0,gamma,0.0,alpha,0.0,alpha,0.0,gamma
8,4,0,1.0,delta,1.0,delta,1.0,alpha,1.0,alpha,1.0,delta,1.0,alpha,1.0,delta,1.0,delta
9,0,0,1.0,delta,0.0,beta,0.0,alpha,0.0,beta,0.0,alpha,0.0,alpha,0.0,alpha,0.0,beta
9,0,1,1.0,alpha,0.0,beta,0.0,alpha,0.0,beta,0.0,alpha,0.0,beta,0.0,beta,0.0,beta
9,0,2,1.0,alpha,0.0,beta,0.0,beta,0.0,beta,0.0,beta,0.0,beta,0.0,beta,0.0,alpha
9,0,3,1.0,alpha,0.0,alpha,0.0,beta,0.0,beta,0.0,beta,0.0,beta,0.0,beta,0.0,beta
9,0,4,1.0,alpha,0.0,beta,0.0,beta,0.0,beta,0.0,beta,0.0,beta,0.0,beta,0.0,beta
9,0,5,1.0,alpha,0.0,alpha,0.0,beta,0.0,beta,0.0,beta,0.0,beta,0.0,beta,0.0,beta
9,0,6,1.0,alpha,0.0,beta,0.0,alpha,0.0,alpha,0.0,beta,0.0,beta,0.0,beta,0.0,alpha
9,0,7,1.0,alpha,0.0,beta,0.0,alpha,0.0,alpha,0.0,beta,0.0,alpha,0.0,beta,0.0,alpha
9,0,8,1.0,alpha,0.0,alpha,0.0,beta,0.0,alpha,0.0,alpha,0.0,alpha,0.0,alpha,0.0,alpha
9,0,9,1.0,alpha,0.0,alpha,0.0,alpha,0.0,alpha,0.0,alpha,0.0,alpha,0.0,alpha,0.0,alpha
9,0,10,1.0,alpha,0.0,alpha,0.0,alpha,0.0,alpha,0.0,alpha,0.0,alpha,0.0,alpha,0.0,alpha
9,0,11,1.0,alpha,0.0,alpha,0.0,alpha,0.0,alpha,0.0,alpha,0.0,alpha,0.0,alpha,0.0,alpha
9,0,12,1.0,alpha,0.0,alpha,0.0,alpha,0.0,alpha,0.0,alpha,0.0,alpha,0.0,alpha,0.0,alpha
9,0,13,1.0,alpha,0.0,alpha,0.0,alpha,0.0,alpha,0.0,alpha,0.0,alpha,0.0,alpha,0.0,alpha
9,0,14,1.0,alpha,0.0,alpha,0.0,alpha,0.0,alpha,0.0,alpha,0.0,alpha,0.0,alpha,0.0,alpha
9,1,0,0.0,beta,0.0,delta,0.0,alpha,0.0,delta,0.0,beta,0.0,gamma,0.0,beta,0.0,gamma
10,0,0,1.0,alpha,0.0,beta,0.0,gamma,0.0,gamma,0.0,alpha,0.0,beta,0.0,beta,0.0,beta
10,0,1,1.0,alpha,0.0,beta,0.0,beta,0.0,beta,0.0,beta,0.0,alpha,0.0,beta,0.0,beta
10,0,2,1.0,alpha,0.0,beta,0.0,beta,0.0,alpha,0.0,alpha,0.0,alpha,0.0,alpha,0.0,alpha
10,0,3,1.0,alpha,0.0,beta,0.0,alpha,0.0,alpha,0.0,alpha,0.0,alpha,0.0,alpha,0.0,alpha
10,0,4,1.0,alpha,0.0,alpha,0.0,beta,0.0,alpha,0.0,alpha,0.0,alpha,0.0,alpha,0.0,alpha
10,0,5,1.0,alpha,0.0,alpha,0.0,beta,0.0,alpha,0.0,alpha,0.0,alpha,0.0,alpha,0.0,alpha
10,0,6,1.0,alpha,0.0,alpha,0.0,alpha,0.0,alpha,0.0,alpha,0.0,alpha,0.0,alpha,0.0,beta
10,0,7,1.0,alpha,0.0,alpha,0.0,beta,0.0,alpha,0.0,beta,0.0,alpha,0.0,alpha,0.0,alpha
10,0,8,1.0,alpha,0.0,alpha,0.0,alpha,0.0,alpha,0.0,alpha,0.0,alpha,0.0,beta,0.0,alpha
10,0,9,1.0,alpha,0.0,beta,0.0,alpha,0.0,alpha,0.0,alpha,0.0,alpha,0.0,beta,0.0,beta
10,0,10,1.0,alpha,0.0,alpha,0.0,alpha,0.0,alpha,0.0,alpha,0.0,alpha,0.0,beta,0.0,alpha
10,0,11,1.0,alpha,0.0,beta,0.0,alpha,0.0,alpha,0.0,alpha,0.0,alpha,0.0,alpha,0.0,beta
10,0,12,1.0,alpha,0.0,alpha,0.0,alpha,0.0,alpha,0.0,alpha,0.0,alpha,0.0,alpha,0.0,alpha
10,0,13,1.0,alpha,0.0,alpha,0.0,alpha,0.0,alpha,0.0,alpha,0.0,alpha,0.0,alpha,0.0,alpha
10,0,14,1.0,alpha,0.0,alpha,0.0,alpha,0.0,alpha,0.0,alpha,0.0,alpha,0.0,alpha,0.0,alpha
10,1,0,1.0,delta,1.0,alpha,0.0,alpha,0.0,delta,0.0,delta,0.0,beta,0.0,gamma,0.0,delta
10,2,0,1.0,alpha,1.0,alpha,0.0,delta,0.0,gamma,0.0,delta,0.0,gamma,0.0,gamma,0.0,gamma
10,3,0,1.0,alpha,1.0,alpha,1.0,alpha,1.0,alpha,0.0,delta,0.0,delta,0.0,beta,0.0,beta
10,4,0,1.0,alpha,1.0,alpha,1.0,alpha,1.0,alpha,0.0,gamma,0.0,beta,0.0,delta,0.0,delta
10,5,0,1.0,alpha,1.0,alpha,1.0,alpha,1.0,alpha,1.0,delta,1.0,delta,0.0,gamma,0.0,delta
10,6,0,1.0,alpha,1.0,delta,1.0,delta,1.0,alpha,1.0,delta,1.0,delta,0.0,delta,0.0,delta
10,7,0,1.0,delta,1.0,delta,1.0,alpha,1.0,alpha,1.0,delta,1.0,alpha,1.0,alpha,1.0,alpha
11,0,0,1.0,alpha,0.0,delta,0.0,alpha,0.0,alpha,0.0,delta,0.0,delta,0.0,gamma,0.0,beta
11,0,1,1.0,delta,0.0,delta,0.0,beta,0.0,alpha,0.0,delta,0.0,delta,0.0,delta,0.0,delta
11,0,2,1.0,delta,0.0,delta,0.0,delta,0.0,beta,0.0,delta,0.0,beta,0.0,delta,0.0,delta
11,0,3,1.0,delta,0.0,beta,0.0,beta,0.0,delta,0.0,delta,0.0,delta,0.0,delta,0.0,delta
11,0,4,1.0,delta,0.0,delta,0.0,beta,0.0,beta,0.0,beta,0.0,delta,0.0,delta,0.0,beta
11,0,5,1.0,delta,0.0,beta,0.0,delta,0.0,beta,0.0,delta,0.0,delta,0.0,beta,0.0,beta
11,0,6,1.0,delta,0.0,delta,0.0,beta,0.0,delta,0.0,delta,0.0,beta,0.0,delta,0.0,beta
11,0,7,1.0,delta,0.0,delta,0.0,delta,0.0,beta,0.0,beta,0.0,delta,0.0,delta,0.0,beta
11,0,8,1.0,delta,0.0,delta,0.0,delta,0.0,delta,0.0,delta,0.0,delta,0.0,delta,0.0,delta
11,0,9,1.0,delta,0.0,delta,0.0,delta,0.0,delta,0.0,delta,0.0,delta,0.0,delta,0.0,delta
11,0,10,1.0,delta,0.0,delta,0.0,delta,0.0,delta,0.0,delta,0.0,delta,0.0,delta,0.0,delta
